Title,Company,Location,Salary,JobType,DatePosted,URL,CompanyLogo,Description
IT Governance,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Not specified,Kontrak/Temporer,15 hari yang lalu,https://id.jobstreet.com/id/job/84385484?type=standard&ref=search-standalone,Logo not available,"✅Job RequirementsMinimum Diploma degree in IT, Computer Science, or a related fieldProven experience in IT governance, compliance, or risk managementStrong knowledge of IT governance frameworks and industry standardsFamiliarity with relevant regulatory requirements within the organization's industryExcellent communication and interpersonal skillsStrong analytical and problem-solving abilitiesHigh attention to detail and strong organizational skillsProficiency in risk assessment and risk management techniquesSolid understanding of IT security principles and best practicesIn-depth knowledge of compliance frameworks such as ISO 27001 or NISTProject management skills to support Governance, Risk, and Compliance (GRC) initiativesAbility to work independently and collaboratively in a team environmentStrong documentation and reporting capabilities📋Job Description – IT GovernanceMelakukan kontrol terhadap seluruh proses yang berjalan di Divisi IT untuk memastikan kesesuaian dengan kebijakan dan ketentuan yang berlaku.Memastikan seluruh proses kerja di Divisi IT berjalan secara efektif dan efisien.Mendokumentasikan proses kerja dalam bentuk Standard Operating Procedure (SOP) atau dokumen sejenis untuk menjamin kontinuitas dan standarisasi proses.Mendukung pelaksanaan audit, baik internal maupun eksternal, guna memastikan proses audit di Divisi IT berjalan lancar dan sesuai standar.Menindaklanjuti temuan audit untuk memastikan kepatuhan (compliance) Divisi IT terhadap peraturan dan standar yang berlaku.Melaksanakan aktivitas operasional dalam lingkup tanggung jawab sesuai dengan Standar Manajemen Keamanan Informasi (SMKI), guna memastikan perlindungan terhadap aset informasi perusahaan sesuai kebijakan dan ketentuan yang ditetapkan."
Mobile Programmer,PT DES Teknologi Informasi,Semarang,Not specified,Full time,10 hari yang lalu,https://id.jobstreet.com/id/job/84460072?type=standard&ref=search-standalone,Logo not available,"Deskripsi dan Tanggungjawab Pekerjaan1. Membuat dan mengembangkan aplikasi yang sesuai dengan kebutuhan di perangkat mobile. 2. Memahami tentang pembuatan aplikasi multimedia dan bahasa pemrograman multiple mobile computer.3. Membangun aplikasi berbasis mobile. 4. Memonitor performa aplikasi tersebut sehingga tidak memiliki banyak gangguan.Persyaratan1. Pendidikan min. S1 Jurusan Teknik Informatika / Sistem Informatika / dll yang berhubungan dengan komputer2. Mampu/Pernah membuat aplikasi Android/IOS3. Memiliki pengetahuan tentang bahasa pemograman Flutter, PHP dan database MySQL4. Mampu berbahasa Inggris Pasif
- Pria/Wanita- Berpengalaman- S1- Tidak ada batasan usia- Terima kandidat tanpa foto diri- Provinsi sesuai penempatan kerja (Jawa Tengah)"
Web Programmer,PT DES Teknologi Informasi,Semarang,Not specified,Full time,10 hari yang lalu,https://id.jobstreet.com/id/job/84460185?type=standard&ref=search-standalone,Logo not available,"Deskripsi dan Tanggungjawab Pekerjaan1. Membuat aplikasi sesuai yang diberikan.2. Memperbaiki bug aplikasi.3. Membuat Laporan.Persyaratan1. Pria / Wanita, maks. 30 tahun2. Pendk. min. D3 Jurusan Teknik Informatika / Sistem Informatika / dll yang berhubungan dengan komputer3. Menguasai bahasa pemograman, PHP, JavaScript, TypeScript4. Menguasai database MySQL5. Mampu berbahasa Inggris Pasif6. Rajin, Jujur, dan Bertanggung Jawab7. Mempunyai kemampuan untuk bekerja sendiri maupun di dalam team
- Pria/Wanita- Berpengalaman- Diploma - Tidak ada batasan usia- Terima kandidat tanpa foto diri- Provinsi sesuai penempatan kerja (Jawa Tengah)"
ADMIN GUDANG,PT OASE TEKNOLOGI ASIA,Tangerang,Not specified,Full time,2 hari yang lalu,https://id.jobstreet.com/id/job/84629420?type=standard&ref=search-standalone,Logo not available,"Kualifikasi :Terbiasa dan tertarik bekerja di lapangan/kerja kasarPendidikan Minimal SMA SMK /SEDERAJAT (semua jurusan)Usia Maksimal 30 tahunMempunyai pengalaman minimal 1 tahun di bagian admin gudangMenguasai Microsoft Office (Miscrosoft Excel)Memiliki kemampuan berkomunikasi yang baik.Memiliki sifat bertanggung jawab, tekun, ulet, cermat, rapi dan telitiMemiliki perencanaan yang baik dalam mengatur segala rencana administrasi dan pengelolaan dalam pergudangan.Disiplin dan loyalitas tinggi dalam bekerjaBERSEDIA LEMBURDAPAT SEGERA BERGABUNGPenempatan Bitung (TANGERANG)Job Desc :Bertanggung jawab terhadap pengiriman orderan retail / online marketplaceMembuat catatan data secara administrasi yang meliputi persediaan barang. Misalnya seputar kode barang, jenis barang dan jumlah barang.Merapikan setiap barang yang ada di gudang, sesuai kelompoknya masing-masing. Harus rapi dan teratur.Memproses dan mempersiapkan barang, sesuai dengan surat jalan yang diberikan bagian administrasi.Melakukan perhitungan fisik setiap hari secara manual.Berkoordinasi dengan sales dan admin supervisor, terkait dengan stok barang.Memantau jalannya pendistribusian barang yang akan dikirimMelakukan stcok opname"
Store Staff,PACC Solo,Surakarta,Not specified,Full time,1 hari yang lalu,https://id.jobstreet.com/id/job/84666752?type=standard&ref=search-standalone,Logo not available,"PACC Solo sedang membuka lowongan untuk posisi Penuh waktu Store Staff di Pajang, Jawa Tengah. Lamar sekarang untuk menjadi bagian dari tim kami.Kualifikasi pekerjaan:Mencari kandidat untuk bekerja pada:Senin: Siang, PagiSelasa: Siang, PagiRabu: Siang, PagiKamis: Siang, PagiJum'at: Siang, PagiSabtu: Siang, PagiMinggu: Siang, PagiTidak diperlukan pengalaman kerja untuk posisi iniGaji yang diinginkan: Rp1,900,000 - Rp2,600,000 per bulanTugas dan tanggung jawab :Melayani customer yang membutuhkan aksesoris gadget (dari cust datang - cust pulang)Bertanggung jawab atas stock storeBertanggung jawab atas kebersihan storeBertanggung jawab atas administrasi/laporanKualifikasi Pelamar :Domisili SolorayaPendidikan minimal SMA/SMK sederajatJujur dan bertanggung jawabBisa mengoperasikan komputerMenyukai gadget dan teknologiTidak pemalu dan friendlyUsia maksimal 27 tahunBenefit :Gaji PokokBonus PenjualanUang LemburJenjang Karir5 Hari KerjaBPJS Kesehatan danKetenagakerjaanCuti TahunanSeragamTraining SkillPenempatanPACC Solo Square (Solo Square Mall)PACC Solo Paragon (Solo Paragon Mall)"
Perawat,PT International Medical Sciences,Kosambi,Rp 4.000.000 – Rp 6.000.000 per month,Full time,2 hari yang lalu,https://id.jobstreet.com/id/job/84637025?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/a13aaefc-40c3-42ae-af8c-691d02fa885d.2/serpLogo,"Lowongan Kerja: PerawatPT International Medical SciencesPT International Medical Sciences adalah perusahaan kesehatan berbasis teknologi yang bergerak di bidang kecantikan, dengan spesialisasi transplantasi rambut dan estetika. Klinik kami akan segera hadir di kawasan PIK 2, Jakarta, sebagai pusat layanan kesehatan kecantikan dengan standar internasional.Kami mencari tenaga profesional yang ingin bertumbuh bersama kami dan siap mengikuti pelatihan sebelum operasional klinik dimulai.Deskripsi Pekerjaan:Mendukung dokter dalam prosedur medis, khususnya transplantasi rambut dan perawatan estetika.Melayani pasien dengan empati, profesionalisme, dan sesuai dengan prosedur operasional klinik.Menyiapkan dan mensterilkan alat-alat medis serta menjaga kebersihan ruangan.Memberikan edukasi kepada pasien mengenai prosedur dan perawatan pasca-tindakan.Melakukan pencatatan dan dokumentasi medis secara teliti dan terorganisir.Tanggung Jawab:Berkontribusi dalam persiapan operasional klinik sebelum pembukaan.Mengikuti pelatihan intensif untuk memahami prosedur klinis dan standar layanan perusahaan.Melaksanakan pelayanan kesehatan sesuai standar internasional.Menjaga protokol kesehatan, keselamatan kerja, dan kenyamanan pasien.Persyaratan:Pendidikan minimal D3 Keperawatan,dengan STR aktif.Memiliki pengalaman kerja sebagai perawat (pengalaman di klinik kecantikan menjadi nilai tambah).Berpenampilan rapi, komunikatif, dan memiliki sikap melayani.Siap mengikuti pelatihan intensif sebelum operasional klinik.Bersedia bekerja di kawasan PIK 2, Jakarta.Mampu bekerja dalam tim maupun secara mandiri.Memiliki Pasport bisa Berbicara Inggris (akan menjadi nilai tambah).SKP Satu Sehat mencukupi untuk pengurusan SIP.Benefit:Pelatihan sebelum operasional untuk meningkatkan kompetensi di bidang transplantasi rambut dan estetika.Tempat tinggal disediakan selama masa kerja.Asuransi Ketenagakerjaan dan Kesehatan BPJS.Gaji kompetitif dan bonus kinerja.Lingkungan kerja dengan standar internasional dan peluang pengembangan karir.Bergabunglah bersama kami dan jadilah bagian dari tim profesional yang akan membawa perubahan di dunia kecantikan!Kesempatan ini terbuka bagi Anda yang ingin tumbuh bersama perusahaan kami dan menjadi bagian dari awal perjalanan klinik yang berfokus pada inovasi dan kualitas pelayanan terbaik."
Apoteker Penanggung Jawab Apotek,PT Teknologi Medika Pratama,Jakarta Raya,Not specified,Kontrak/Temporer,2 hari yang lalu,https://id.jobstreet.com/id/job/84639419?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/567e2ed1-4f53-4b2f-bd70-fb4aa64f570e.2/serpLogo,"Apotek Inofarmaberdedikasi untuk meningkatkan kesehatan dan kesejahteraan masyarakat di seluruh Indonesia dengan menyediakan produk kesehatan di berbagai lokasi yang mudah diakses, harga terjangkau dan berkualitas tinggi, dengan disertai layanan farmasi oleh apoteker.Kami berkomitmen untuk meningkatkan akses terhadap produk kesehatan esensial dan membangun kepercayaan melalui perawatan yang penuh empati. Dengan memanfaatkan solusi inovatif dan mengutamakan kebutuhan Anda, kami berharap Anda dan Indonesia menjadi lebih sehat.Guna memastikan pelayanan Apotek Inofarma yang terus didukung oleh pada ahli di bidang kefarmasian, maka saat ini kami mencariApoteker Penanggung Jawabyang bertanggung jawab atas operasional Apotek serta menjamin mutu pelayanan Apotek Inofarma.Tanggung JawabMelakukan pengelolaan sediaan farmasi, bahan medis habis pakai, dan alat kesehatan di apotek dengan efisien dan sesuai dengan peraturan perundang-undangan yang berlakuMenjalankan pelayanan kefarmasian dan klinis (swamedikasi, pelayanan informasi obat, konseling, pemantauan terapi) kepada pasienMelakukan kegiatan penjangkauan masyarakat, dalam bentuk edukasi kesehatan dllMembuat laporan rutin dan wajib apotekMenyusun, memastikan dan mempertahankan penerapan sistem manajemen mutu di apotekMensupervisi tim di apotekMengikuti program pengembangan kompetensi rutin yang diselenggarakan oleh kantor pusat Apotek InofarmaMenyusun dan/atau menjalankan program pelatihan dasar dan pelatihan lanjutan untuk semua personil yang terkait dalam kegiatan pelayanan di apotekMenangani keluhan pelangganMenjaga akurasi dan mutu dokumentasi kegiatan di apotekMenjalankan tugas-tugas administratif lainnya yang diperlukan untuk menunjang kegiatan operasional apotek sesuai dengan regulasi dan peraturan perundang-undangan yang berlakuKualifikasiLulusan S1 Farmasi dan program profesi apotekerMemiliki STRA yang aktifMemiliki pengalaman minimal 3 tahun di pelayanan kefarmasianBerfokus pada mutu pelayanan pelangganCepat beradaptasi dan memiliki keinginan berkembangBersedia ditempatkan di lokasi apotek yang ditentukan oleh Apotek InofarmaBersedia bekerja full time di Apotek InofarmaMemiliki domisili yang dekat dengan lokasi apotek akan memiliki nilai lebih"
Business Manager,PT Amartha Mikro Fintek (Jakarta),Plampang,Rp 4.000.000 – Rp 4.500.000 per month,Full time,2 hari yang lalu,https://id.jobstreet.com/id/job/84635991?type=standard&ref=search-standalone,Logo not available,"Gambaran Umum PekerjaanKami mencari seorangBusiness Manageryang dinamis dan berpengalaman untuk bergabung dengan tim kami di PT Amartha Mikro Fintek, sebuah perusahaan fintech terkemuka di Indonesia. Sebagai Business Manager, Anda akan berperan penting dalam mendorong pengembangan bisnis baru di lokasi Plampang, West Nusa Tenggara. Anda akan bertanggung jawab untuk mengidentifikasi dan menjalin hubungan dengan calon klien potensial, serta mengelola portofolio bisnis yang ada.Tanggung Jawab UtamaMengidentifikasi dan mengembangkan peluang bisnis baru di wilayah Plampang, West Nusa TenggaraMembangun dan mengelola hubungan yang kuat dengan calon klien dan mitra bisnisMembuat strategi penjualan yang efektif untuk memperluas basis klienMenganalisis data pasar dan tren industri untuk mengembangkan rencana bisnis yang inovatifMemberikan layanan purna jual yang unggul untuk mempertahankan kepuasan pelangganMencapai dan melampaui target penjualan dan pertumbuhan bisnis yang ditetapkanKeterampilan, Kualifikasi, dan Pengalaman yang DibutuhkanGelar sarjana dalam bidang bisnis, manajemen, atau bidang terkaitMinimal 5 tahun pengalaman di bidang pengembangan bisnis baru atau penjualanKemampuan yang terbukti dalam membangun dan mempertahankan hubungan pelanggan yang kuatPemahaman yang baik tentang industri keuangan mikro dan tren pasar terkiniKeterampilan komunikasi yang unggul, baik secara lisan maupun tertulisKemampuan bekerja dalam tim dan beradaptasi dengan lingkungan yang dinamisMotivasi diri tinggi dan berorientasi pada hasilManfaat Bekerja di PT Amartha Mikro FintekKompensasi yang kompetitif dan paket manfaat yang menarikKesempatan untuk pengembangan karier yang luas dan pelatihan profesionalLingkungan kerja yang dinamis dan mendukung inovasiBudaya perusahaan yang menjunjung keberagaman, inklusi, dan kesempatan yang setaraFleksibilitas dalam pengaturan jam kerja dan opsi bekerja jarak jauhTentang PT Amartha Mikro FintekPT Amartha Mikro Fintek adalah perusahaan fintech terkemuka di Indonesia yang berfokus pada pemberdayaan keuangan mikro. Didirikan pada tahun 2010, Amartha berkomitmen untuk memperluas akses keuangan bagi masyarakat yang belum terjangkau, khususnya di wilayah pedesaan. Dengan inovasi teknologi dan pendekatan yang berpusat pada klien, Amartha telah membantu meningkatkan kesejahteraan ribuan keluarga di seluruh Indonesia.Jika Anda tertarik dan memenuhi persyaratan yang disebutkan, silakanlamar sekaranguntuk menjadi bagian dari tim kami yang dinamis di PT Amartha Mikro Fintek."
Fullstack Developer (Banking Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Not specified,Kontrak/Temporer,13 hari yang lalu,https://id.jobstreet.com/id/job/84415873?type=standard&ref=search-standalone,Logo not available,"Jobdesc:- Develop, deploy & implement applications based on system design, standard, quality, and performance from requirements- Do research and assessment based on requirement for further enhancement- Support production inquiries, and do investigation to have Root Cause Analysis for production issuesRequirements:1. Experience with Mobile and Web Application Development minimum 1 years2. Experience with Programming Java with OOP concept3. Experience and understanding with technology stack & Framework:- Back end: NodeJS, Express, GraphQL- Front end: React & React Native- Database: NoSQL- Unit Test: JEST4. Experience with development corporate internet banking (cash management) is a plus5. Familiar with Agile software development, microservice and containerization6. Have integrity, initiative and detail.7. Have a high commitment to complete work on time8. Able to work under pressure9. Have a good adaptability and fast learning"
DIGITAL STRATEGIST FOR CONSTRUCTION COMPANY,PT. TRITAMA ESTETIKA KONSTRUKSI,Jakarta Timur,Not specified,Full time,5 hari yang lalu,https://id.jobstreet.com/id/job/84607399?type=standard&ref=search-standalone,Logo not available,"Kualifikasi:·         Pendidikan minimal D3 Ilmu Komunikasi / Bisnis Digital / Manajemen / Periklanan / Teknik Informatika / Desain Komunikasi Visual.·         Kemampuancopywritingyang sangat baik.·         Bersemangat dalam menulis cerita, ide, dan caption yang memukau.·         Selalu mengikuti perkembangan tren dan teknologi digital.·         Memiliki pengetahuan tentang desain dan konstruksi akan menjadi nilai tambah.·         Menguasai program Adobe Photoshop, Adobe Illustrator, Canva, MS. Office, dan software pendukung desain grafis lainnya.·         Dapat mengelola kampanye di Google ads dan Meta ads secara optimal.·         Memiliki laptop, kendaraan pribadi dan juga SIM.Tugas dan Tanggung Jawab:·         Bertanggung jawab dalam mengelola akun Google ads, Meta ads, social media serta konten website perusahaan.·         Membuat strategi digital marketing, termasuk strategi pengelolaan social media.·         Membuat desain grafis yang baik dalam setiap menyajikan konten di social media.·Visit/ kunjungan ke lokasi project untuk membuat foto & video konten.·         Melakukan presentasi dan memintaapprovalke management untuk setiap konten yang akan di unggah."
MERCHANDISER MANAGER,Pelita Timur,Nusa Tenggara Timur,Rp 12.500.000 – Rp 17.500.000 per month,Full time,3 hari yang lalu,https://id.jobstreet.com/id/job/84619718?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/f14371bb-6337-42e9-96d5-7145d20cdabb.1/serpLogo,"Tentang NirwanaNirwana adalah ritel yang sedang berkembang di Ruteng Nusa Tenggara Timur, dengan jaringan toko yang tersebar di beberapa wilayah di Ruteng. Kami berkomitmen untuk menyediakan pengalaman berbelanja yang luar biasa bagi pelanggan kami melalui inovasi, keramahan, dan layanan yang unggul. Sebagai perusahaan yang berpusat pada orang, kami bangga dengan budaya kami yang memprioritaskan kesejahteraan dan pengembangan karyawan. Bergabung dengan kami adalah kesempatan untuk berkontribusi pada pertumbuhan perusahaan dan pengalaman pelanggan yang luar biasa.Tanggung JawabMenganalisis data penjualan dan tren konsumenMampu memimpin Tim merchandiserMemantau kepatuhan toko terhadap standar visual dan merchandising perusahaan.Memberikan pelatihan dan bimbingan kepada tim merchandiser dan staf toko tentang praktik merchandising terbaik.Mengelola anggaran merchandising dan mengoptimalkan penggunaan sumber daya.KualifikasiGelar sarjanaUsia maks. 50 tahunMinimal 3 tahun pengalaman dalam peran manajerial di industri ritel modern.Pengetahuan yang mendalam tentang proses Merchandising ritel.Kemampuan analitis yang kuat untuk menginterpretasikan data dan mengidentifikasi area perbaikan.Keterampilan kepemimpinan yang baik untuk memotivasi dan membimbing tim.Mengetahui KPI Manager MerchandisingPemahaman yang baik tentang teknologi ritel.Kemampuan untuk bekerja dalam lingkungan yang dinamis dan beradaptasi dengan perubahan.Bersedia ditempatkan di Ruteng, NTTManfaat Utama Bekerja di Pelita TimurPaket remunerasi yang kompetitif, termasuk gaji yang menarik, tunjangan yang menarik, Tiket PP, Bonus KPIAkomodasi tempat tinggal dan kendaraan operasional roda 2Kebijakan Cuti 20 Hari.Lingkungan kerja yang kolaboratif dan inklusif, mendukung keberagaman dan inovasi.Manfaat kesehatan dan kesejahteraan yang komprehensif untuk karyawan dan keluarga mereka.Jika Anda tertarik untuk bergabung dengan tim kami yang solid,lamar sekarangdan biarkan kami mengetahui bagaimana Anda dapat berkontribusi pada kesuksesan Nirwana Grup.Manfaat menarik, lingkungan kerja kolaboratif, dan kesempatan pengembangan karier.Poin penjualan utama:Compensation & Benefit menarikLingkungan kerja PositifPeluang Mengembangkan karirKirim lamaran Anda sekarang untuk kesempatan bergabung dengan tim Nirwana Group yang dinamis!"
Development and Programmer,"PT. Solusi Sinergi Digital, Tbk (Surge)",Jakarta Raya,Not specified,Full time,22 hari yang lalu,https://id.jobstreet.com/id/job/84189202?type=standard&ref=search-standalone,Logo not available,"Minimal S1 di bidang Teknik Informatika, Sistem Informasi, atau sejenisnyaMinimal 2 tahun di bidang pemrograman atau pengembangan sistem, lebih disukai di industri media digital/signageKemampuan Teknis- Mahir dalam JavaScript, TypeScript, ReactJS dengan Next.js- Menguasai PHP, HTML, CSS- Pengalaman mengelola database PostgreSQL dan MySQL- Familiar dengan Laravel atau CodeIgniter- Pengalaman membuat dan mengelola REST API- Familiar dengan Linux scripting dan Windows bash scripting- Mengerti struktur database dan relasional dataHardware & R&D- Pengalaman menggunakan dan mengonfigurasi Raspberry Pi, Android TVbox, atau media player- Paham dasar jaringan (LAN/WiFi, IP Addressing)- Mampu melakukan testing dan integrasi software dengan hardwareSoft Skills- Problem-solving mindset- Mampu bekerja secara mandiri maupun dalam tim- Komunikatif dan terbuka terhadap feedback- Disiplin dan dapat bekerja dalam tenggat waktuNilai Tambah- Pengalaman dengan sistem digital signage- Mengerti teknologi pemutaran konten seperti FFmpeg, VLC, atau Xibo- Familiar dengan teknologi IoT atau sistem embedded"
Teknisi / Colour Management,PT Putra Mutiara Jaya,Bandung,Rp 3.550.000 – Rp 3.750.000 per month,Full time,3 hari yang lalu,https://id.jobstreet.com/id/job/84622743?type=standard&ref=search-standalone,https://bx-branding-gateway.cloud.seek.com.au/ac6409d5-f470-4ed5-8456-d6aee6c859da.1/serpLogo,"KesempatanPT Putra Mutiara Jaya, perusahaan yang bergerak di bidang Engineering, khususnya Electrical/Electronic Engineering, membutuhkan seorangTeknisi / Colour Managementyang berbasis di Bandung, Jawa Barat. Dalam peran ini, Anda akan bertanggung jawab untuk memastikan kualitas warna yang konsisten di seluruh produk kami, serta mengembangkan dan mengoptimalkan proses color management kami.Tanggung JawabMengidentifikasi dan menyelesaikan masalah warna pada produk, serta memastikan kualitas warna sesuai standar.Mengembangkan dan menerapkan prosedur color management yang efektif untuk proses produksi.Melakukan kalibrasi dan profiling perangkat warna, seperti monitor, printer, dan kamera, untuk menjaga konsistensi warna.Berkolaborasi dengan tim desain, produksi, dan penelitian dan pengembangan untuk mengoptimalkan proses color management.Memberikan pelatihan dan panduan kepada karyawan lain tentang praktik color management terbaik.Mengejar Kombinasi warna sesuai dengan keinginan CustomerMencari warna pada  Design agar sesuai dengan keinginan CustomerMembuat design gambar untuk di print di mesin direct printPersyaratanPendidikan Minimal SMA/SMKDiutamakan berpengalaman sebagai Teknisi Color Management atau peran serupa di industri manufaktur atau percetakan.Pemahaman mendalam tentang prinsip-prinsip color management, kalibrasi perangkat, dan profiling.Mahir menggunakan software Photoshop dan Adobe IlustratorMemiliki Kemampuan komunikasi bahasa Inggris yang aktifMemiliki SIM A dan bersedia melakukan Perjalanan dinas Luar Kota.ManfaatGaji kompetitif dan tunjangan menarikProgram pengembangan karir dan pelatihan yang komprehensifLingkungan kerja yang mendukung, inovatif, dan kolaboratifKesempatan untuk berkontribusi pada produk-produk berkualitas tinggiFasilitas kantor yang modern dan nyamanTentang KamiPT Putra Mutiara Jaya adalah perusahaan engineering yang berbasis di Bandung, Jawa Barat. Kami berkomitmen untuk menyediakan solusi engineering berkualitas tinggi bagi pelanggan kami. Dengan tim yang ahli dan berdedikasi, kami terus berinovasi dan mengembangkan teknologi terbaru untuk memenuhi kebutuhan industri. Budaya perusahaan kami menekankan pada kerjasama tim, pengembangan berkelanjutan, dan kepuasan pelanggan. Kami menyediakan lingkungan kerja yang mendukung, memberikan peluang untuk berkembang, dan menghargai kontribusi setiap karyawan.Tertarik untuk bergabung dengan tim kami?Lamar sekarangdan jadikan karir Anda bersama kami!"
Manager Engineer,PT Hikari Teknologi Indonesia,Gresik,Not specified,Full time,10 hari yang lalu,https://id.jobstreet.com/id/job/84468668?type=standard&ref=search-standalone,Logo not available,"KUALIFIKASI:Pendidikan minimal S1, diutamakan dari jurusan Teknik Mesin (Mechanical Engineering). Pendidikan S2 menjadi nilai tambah.Usia minimal 30 tahun.Pengalaman minimal 5 tahun di bidang konstruksi umum/industri, dengan posisi terakhir sebagai Manager Engineering atau setara.Menguasai dan memahami:Program desain teknik seperti AutoCAD, SolidWorks, dan aplikasi 3D Modeling lainnya.Program analisis teknik untuk kekuatan tangki, pressure vessel, dan sistem perpipaan (contoh: PV Elite, Caesar II).Menguasai prinsip dan praktik Manajemen Proyek, mencakup:Perencanaan (Planning), Pengendalian (Controlling), Evaluasi (Evaluating), dan Penganggaran (Budgeting).Mampu menyusun dan mengontrol dokumen teknis dan administratif proyek secara profesional.Memiliki kemampuan komunikasi lisan dan tulisan yang baik dalam Bahasa Indonesia dan Bahasa Inggris (aktif).Mampu memimpin tim dan membina kerja sama lintas fungsi secara efektif.Memahami aspek pekerjaan struktur dan konstruksi sipil (nilai tambah).Memiliki pemahaman terhadap standar nasional maupun internasional terkait konstruksi, keselamatan kerja, dan teknik.JOB DESCRIPTION:Membantu Project Manager dalam mengelola seluruh aktivitas engineering pada proyek secara profesional guna mendukung pencapaian visi dan misi perusahaan.Merencanakan, melaksanakan, dan mengevaluasi:Analisis kelayakan teknis (feasibility study), analisis desain, dan penyusunan dokumen tender (teknikal & komersial).Penyusunan RAB, jadwal pelaksanaan, metode kerja, serta estimasi teknis lainnya.Mengatur dan mengelola sumber daya teknik (SDM engineering, peralatan, software, dll.) agar pekerjaan selesai tepat waktu, sesuai mutu dan anggaran.Melakukan pengawasan dan pengendalian operasional engineering dan aspek komersial proyek, termasuk:Klaim pekerjaan, value engineering, addendum/VO, serta perubahan desain teknis.Menyusun dan memastikan implementasi prosedur kerja teknik untuk mencapai target proyek (biaya, mutu, waktu).Melakukan evaluasi berkala terhadap pelaksanaan proyek dari sisi engineering dan menyusun laporan penyelesaian proyek.Berkoordinasi intensif dengan departemen terkait: QC, Operasional, Project, Workshop & Gudang, Procurement, HRGA, HSE, dan Keuangan.Menjaga standar keselamatan, kesehatan kerja, dan lingkungan (K3L) dalam seluruh aktivitas engineering.Melakukan pembinaan dan pengembangan tim engineering untuk meningkatkan kapabilitas dan produktivitas kerja.Bertindak sebagai representasi teknis perusahaan dalam pertemuan dengan klien, konsultan, dan vendor."
